Submitted identifier,Found identifier,Resource
SLC35B3,Q9H1N7,UNIPROT
MT-ND6,ENST00000361681,ENSEMBL
MT-ND6,P03923,UNIPROT
SLC35B2,Q8TB61,UNIPROT
SLC23A2,Q9UGH3,UNIPROT
MT-ND4L,ENST00000361335,ENSEMBL
SLC46A1,Q96NT5,UNIPROT
MT-ND4,ENST00000361381,ENSEMBL
MT-ND4,P03905,UNIPROT
SLC35B4,Q969S0,UNIPROT
MT-ND5,P03915,UNIPROT
MT-ND5,ENST00000361567,ENSEMBL
MT-CO1,P00395,UNIPROT
MT-CO1,ENST00000361624,ENSEMBL
SLC23A1,Q9UGH3,UNIPROT
SLC23A1,Q9UHI7,UNIPROT
SLC4A1,P02730,UNIPROT
SLC4A2,P04920,UNIPROT
SLC4A3,P48751,UNIPROT
MT-ND2,ENST00000361453,ENSEMBL
MT-ND2,P03891,UNIPROT
SLC4A4,Q9Y6R1,UNIPROT
MT-ND3,P03897,UNIPROT
MT-ND3,ENST00000361227,ENSEMBL
SLC4A5,Q9BY07,UNIPROT
MT-ND1,P03886,UNIPROT
MT-ND1,ENST00000361390,ENSEMBL
CKMT1B,P12532,UNIPROT
SLC12A6,Q9UHW9,UNIPROT
SLC12A7,Q9Y666,UNIPROT
SLC34A3,Q8N130,UNIPROT
SLC34A2,O95436,UNIPROT
SLC6A19,Q695T7,UNIPROT
MECR,Q9BV79,UNIPROT
SLC6A18,Q96N87,UNIPROT
SLC11A1,P49279,UNIPROT
SLC6A15,Q9H2J7,UNIPROT
SLC34A1,Q06495,UNIPROT
SLC35C2,Q9P218,UNIPROT
SLC6A14,Q9UN76,UNIPROT
SLC11A2,P49281,UNIPROT
SLC35C1,Q96A29,UNIPROT
SLC6A13,Q9NSD5,UNIPROT
SLC6A12,P48065,UNIPROT
SLC6A11,P48066,UNIPROT
SLC51A,Q86UW1,UNIPROT
SLC51B,Q86UW2,UNIPROT
SLC5A6,Q9Y289,UNIPROT
SLC5A7,Q9GZV3,UNIPROT
SLC5A8,Q8N695,UNIPROT
SLC5A9,Q2M3M2,UNIPROT
MT-CO2,ENST00000361739,ENSEMBL
MT-CO2,P00403,UNIPROT
MT-CO3,ENST00000362079,ENSEMBL
MT-CO3,P00414,UNIPROT
SLC22A4,Q9H015,UNIPROT
SLC22A4,O76082,UNIPROT
SLC22A3,O75751,UNIPROT
SLC22A6,Q4U2R8,UNIPROT
SLC45A2,Q9UMX9,UNIPROT
SLC45A3,Q96JT2,UNIPROT
SLC22A5,O76082,UNIPROT
SLC35D1,Q9NTN3,UNIPROT
SLC22A2,O15245,UNIPROT
SLC22A2,O15244,UNIPROT
SLC22A1,O15245,UNIPROT
SLC35D2,Q76EJ3,UNIPROT
SLC35D2,Q9NTN3,UNIPROT
SLC5A1,P13866,UNIPROT
SLC5A1,Q9NY91,UNIPROT
SLC5A2,P31639,UNIPROT
SLC6A20,Q9NP91,UNIPROT
SLC30A10,Q6XR72,UNIPROT
SLC5A3,P53794,UNIPROT
SLC5A4,Q9NY91,UNIPROT
SLC5A5,Q92911,UNIPROT
PTPMT1,Q8WUK0,UNIPROT
SLC19A3,Q9BZV2,UNIPROT
SLC19A1,P41440,UNIPROT
PCK2,Q16822,UNIPROT
PCK2,Q16513,UNIPROT
SLC19A2,O60779,UNIPROT
SLC10A6,Q3KNW5,UNIPROT
SLC10A1,Q14973,UNIPROT
SLC10A2,Q12908,UNIPROT
SLC33A1,O00400,UNIPROT
SLC16A10,Q8TF71,UNIPROT
SLC6A5,Q9Y345,UNIPROT
SLC6A5,P23975,UNIPROT
SLC6A6,P31641,UNIPROT
SLC6A7,Q99884,UNIPROT
SLC6A8,P48029,UNIPROT
SLC6A9,P48067,UNIPROT
SLC22A8,Q8TCC7,UNIPROT
SLC22A7,Q9Y694,UNIPROT
SLC44A5,Q8NCS7,UNIPROT
SLC44A3,Q8N4M1,UNIPROT
GFM1,Q96RP9,UNIPROT
SLC44A4,Q53GD3,UNIPROT
SLC44A1,Q8WWI5,UNIPROT
GFM2,Q969S9,UNIPROT
SLC44A2,Q8N4M1,UNIPROT
SLC44A2,Q8IWA5,UNIPROT
SLC7A11,Q9UPY5,UNIPROT
TFB1M,Q8WVM0,UNIPROT
TFB1M,ENSG00000029639,ENSEMBL
SLC6A1,P30531,UNIPROT
SLC7A10,Q9NS82,UNIPROT
SLC6A2,P23975,UNIPROT
SLC6A3,Q01959,UNIPROT
SLC6A4,P31645,UNIPROT
SLC22A12,Q96S37,UNIPROT
MT-ATP6,ENST00000361899,ENSEMBL
MT-ATP6,P00846,UNIPROT
SLC22A13,Q9Y226,UNIPROT
SLC22A15,Q8IZD6,UNIPROT
SLC22A16,Q86VW1,UNIPROT
SLC22A17,Q8WUG5,UNIPROT
SLC22A18,Q96BI1,UNIPROT
TK2,O00142,UNIPROT
SLC18A1,P54219,UNIPROT
SLC18A2,Q05940,UNIPROT
SLC22A11,Q9NSA0,UNIPROT
SLC18A3,Q16572,UNIPROT
SLC2A14,Q8TDB8,UNIPROT
SLC2A11,Q9BYW1,UNIPROT
SLC32A1,Q9H598,UNIPROT
SLC2A10,O95528,UNIPROT
SLC2A13,Q96QE2,UNIPROT
SLC2A12,Q8TD20,UNIPROT
SLC39A10,Q9ULF5,UNIPROT
TFB2M,ENSG00000162851,ENSEMBL
TFB2M,Q9H5Q4,UNIPROT
SLC39A14,P48454,UNIPROT
SLC39A14,Q15043,UNIPROT
SLC7A5,Q01650,UNIPROT
SLC7A6,Q92536,UNIPROT
SLC7A7,Q9UM01,UNIPROT
SLC7A8,Q9UHI5,UNIPROT
SLC7A9,P82251,UNIPROT
SLCO4A1,Q96BD0,UNIPROT
SLC29A4,Q7RTT9,UNIPROT
PGAM5,Q96HS1-2,UNIPROT
SLC29A1,Q99808,UNIPROT
SLC29A3,Q9BZD2,UNIPROT
SLC29A2,Q9UJQ4,UNIPROT
SLC29A2,Q14542,UNIPROT
SLC43A2,Q8N370,UNIPROT
SLC20A2,Q08357,UNIPROT
SLC20A1,Q8WUM9,UNIPROT
SLC43A1,O75387,UNIPROT
MRPL58,Q14197,UNIPROT
SLC7A1,P30825,UNIPROT
SLC7A2,P52569-1,UNIPROT
SLC7A2,P52569-2,UNIPROT
SLC7A3,Q8WY07,UNIPROT
PDF,Q96MW5,UNIPROT
FTMT,Q8N4E7,UNIPROT
SLC17A5,Q9NRA2,UNIPROT
SLC17A6,Q9P2U8,UNIPROT
NT5M,Q9NPB1,UNIPROT
NT5M,Q8TCD5,UNIPROT
SLC17A7,Q9P2U7,UNIPROT
GPAT2,Q6NUI2,UNIPROT
SLC17A8,Q8NDX2,UNIPROT
SLC17A1,Q14916,UNIPROT
SLC17A2,Q06495,UNIPROT
SLC17A3,O00476,UNIPROT
TRMT10C,Q7L0Y3,UNIPROT
SLC16A1,P53985,UNIPROT
CKMT1A,P12532,UNIPROT
SLC8B1,Q6J4K2,UNIPROT
MT-ATP8,P03928,UNIPROT
MT-ATP8,ENST00000361851,ENSEMBL
SLC8A3,P57103,UNIPROT
GPAM,Q9HCL2,UNIPROT
GPAM,ENSG00000119927,ENSEMBL
SLCO3A1,Q9UIG8-1,UNIPROT
SLCO4C1,Q6ZQN7,UNIPROT
SLC28A2,O43868,UNIPROT
SLC28A1,O00337,UNIPROT
SLC28A1,O43868,UNIPROT
SLC28A3,Q9HAS3,UNIPROT
MTFMT,Q96DP5,UNIPROT
SLC27A1,ENSG00000130304,ENSEMBL
SLC27A1,Q6PCB7,UNIPROT
SLC9C1,Q4G0N8,UNIPROT
SLC8A1,P32418,UNIPROT
SLC9C2,Q5TAH2,UNIPROT
SLC8A2,Q9UPR5,UNIPROT
MPC1,Q9Y5U8,UNIPROT
SLCO2B1,O94956-1,UNIPROT
SLCO2B1,O94956,UNIPROT
SLCO2B1,O94956-3,UNIPROT
MPC2,O95563,UNIPROT
SLC39A6,Q13433,UNIPROT
SLC39A5,Q6ZMH5,UNIPROT
SLC16A7,O60669,UNIPROT
SLC26A11,Q86WA9,UNIPROT
PMPCA,Q10713,UNIPROT
SLC16A8,O95907,UNIPROT
SLC39A8,Q9C0K1,UNIPROT
SLC26A10,Q8TE54,UNIPROT
SLC39A7,Q92504,UNIPROT
SLC39A2,Q9NP94,UNIPROT
SLC16A2,P36021,UNIPROT
SLC25A44,Q96H78,UNIPROT
SLC39A1,Q9NP94,UNIPROT
SLC39A1,Q9NY26,UNIPROT
SLC16A3,O15427,UNIPROT
SLC39A4,Q6P5W5,UNIPROT
SLC39A3,Q9BRY0,UNIPROT
SLC30A7,Q8NEW0,UNIPROT
SLC30A6,Q6NXT4,UNIPROT
SLC15A1,P46059,UNIPROT
SLC38A1,Q9H2H9,UNIPROT
SLC15A2,Q16348,UNIPROT
SLC30A8,Q8IWU4,UNIPROT
SLC30A3,Q99726,UNIPROT
SLC30A2,Q9BRI3,UNIPROT
SLC30A5,Q8TAD4,UNIPROT
MUL1,Q969V5,UNIPROT
SLC30A1,Q9Y6M5,UNIPROT
POLRMT,ENSG00000099821,ENSEMBL
POLRMT,O00411,UNIPROT
SLC9B1,Q4ZJI4,UNIPROT
SLC9B2,Q86UD5,UNIPROT
SLC9B2,Q4ZJI4,UNIPROT
TUFM,P49411,UNIPROT
SLC9A2,Q9UBY0,UNIPROT
SLC9A3,P48764,UNIPROT
SLC9A4,Q6AI14,UNIPROT
SLC9A5,Q14940,UNIPROT
SLC9A6,Q92581,UNIPROT
SLC9A7,Q96T83,UNIPROT
SLC9A8,Q9Y2E8,UNIPROT
SLC9A9,Q8IVB4,UNIPROT
SLCO2A1,Q92959,UNIPROT
SLC27A6,Q9Y2P4,UNIPROT
SLC27A3,Q5K4L6,UNIPROT
SLC27A2,Q9Y2P5,UNIPROT
SLC27A2,O14975,UNIPROT
SLC27A5,Q9Y2P5,UNIPROT
SLC27A4,Q6P1M0,UNIPROT
SLC26A2,P50443,UNIPROT
SLC26A1,Q9H2B4,UNIPROT
SLC41A2,Q96JW4,UNIPROT
SLC1A1,P43005,UNIPROT
SLC1A2,P43004,UNIPROT
SLC41A1,Q8IVJ1,UNIPROT
SLC1A3,P43003,UNIPROT
SLC1A4,P43007,UNIPROT
SLC1A5,Q15758,UNIPROT
SLC1A6,P48664,UNIPROT
SLC1A7,O00341,UNIPROT
SLC9A1,P19634,UNIPROT
SLCO1B1,Q9Y6L6,UNIPROT
SLCO1B3,Q9NPD5,UNIPROT
SLC38A9,Q8NBW4,UNIPROT
SLC15A3,Q8IY34,UNIPROT
SLC38A2,Q96QD8,UNIPROT
SLC15A4,Q8IY34,UNIPROT
SLC15A4,Q8N697,UNIPROT
SLC38A5,Q8WUX1,UNIPROT
SLC38A4,Q969I6,UNIPROT
SLC37A2,Q8TED4-2,UNIPROT
SLC37A1,P57057,UNIPROT
SLC52A2,Q9HAB3,UNIPROT
SLC52A3,Q9NQ40,UNIPROT
IDH2,P48735,UNIPROT
IDH2,P50213,UNIPROT
SLC4A10,Q6U841,UNIPROT
SLC52A1,Q9NWF4,UNIPROT
SLC2A9,Q9NRM0,UNIPROT
SLCO1A2,P46721,UNIPROT
SLC26A7,Q8TE54,UNIPROT
SLC26A9,Q7LBE3,UNIPROT
SLC26A4,O43511,UNIPROT
MT-CYB,P00156,UNIPROT
MT-CYB,ENST00000361789,ENSEMBL
SLC26A3,P40879,UNIPROT
SLC26A6,Q9BXS9,UNIPROT
SLC26A5,P58743,UNIPROT
SLC25A1,P53007,UNIPROT
SLC25A2,Q9BXI2,UNIPROT
SLC40A1,Q9NP59,UNIPROT
SLC2A1,P11166,UNIPROT
SLC2A2,ENSG00000163581,ENSEMBL
SLC2A2,P11168,UNIPROT
SLC2A3,ENSG00000059804,ENSEMBL
SLC2A3,Q8TDB8,UNIPROT
SLC2A3,P11169,UNIPROT
SLC2A4,P14672,UNIPROT
SLC2A4,ENSG00000181856,ENSEMBL
SLC2A5,P22732,UNIPROT
SLC2A6,Q9UGQ3,UNIPROT
SLC2A7,Q6PXP3,UNIPROT
SLC2A8,Q9NY64,UNIPROT
NADK2,Q4G0N4,UNIPROT
SLC37A4,O43826,UNIPROT
SLC36A1,Q7Z2H8,UNIPROT
SLC13A1,Q9BZW2,UNIPROT
SLC13A2,Q13183,UNIPROT
SLC13A3,Q8WWT9,UNIPROT
SLC13A4,Q9UKG4,UNIPROT
SLC36A2,Q495M3,UNIPROT
MARS2,Q96GW9,UNIPROT
SLC25A16,P16260,UNIPROT
SLCO1C1,Q9NYB5,UNIPROT
SLC25A15,Q9Y619,UNIPROT
SLC25A18,Q9H1K4,UNIPROT
SLC25A17,O43808,UNIPROT
SLC25A19,Q9HC21,UNIPROT
SLC25A10,Q9UBX3,UNIPROT
SLC25A12,O75746,UNIPROT
SLC25A5,P05141,UNIPROT
SLC25A5,P12236,UNIPROT
SLC25A11,Q02978,UNIPROT
SLC25A4,P12235,UNIPROT
SLC25A14,O95258,UNIPROT
SLC25A6,P12236,UNIPROT
SLC25A13,Q9UJS0,UNIPROT
SLC24A2,Q9UI40,UNIPROT
SLC47A2,Q86VL8,UNIPROT
SLC24A1,O60721,UNIPROT
SLC24A4,Q8NFF2,UNIPROT
SLC24A3,Q9HC58,UNIPROT
SLC47A1,Q96FL8,UNIPROT
SLC47A1,Q86VL8,UNIPROT
SLC5A11,Q8WWX8,UNIPROT
SLC5A12,Q1EHB4,UNIPROT
SLC3A1,Q07837,UNIPROT
SLC3A2,P08195,UNIPROT
SLC5A10,A0PJK1,UNIPROT
MRM1,Q6IN84,UNIPROT
MRM2,Q9UI43,UNIPROT
MRM3,Q9HC36,UNIPROT
CKMT2,P17540,UNIPROT
SLC25A27,O95847,UNIPROT
SLC25A26,Q70HW3,UNIPROT
SLC25A29,Q8N8R3,UNIPROT
SLC25A28,Q96A46,UNIPROT
SLC25A21,Q9BQT8,UNIPROT
SLC25A20,O43772,UNIPROT
SLC13A5,Q86YT5,UNIPROT
SLC25A22,Q9H936,UNIPROT
SLC36A4,Q6YBV0,UNIPROT
SLC35A2,P78381,UNIPROT
SLC12A2,P55011,UNIPROT
SLC35A1,P78382,UNIPROT
SLC12A3,P55017,UNIPROT
SLC12A4,Q9UP95,UNIPROT
SLC12A5,Q9H2X9,UNIPROT
SLC35A3,Q9Y2D2,UNIPROT
NDUFA4,O00483,UNIPROT
SLC12A1,Q13621,UNIPROT
SLC50A1,Q9BRV3,UNIPROT
SLC4A7,Q9Y6M7,UNIPROT
SLC25A37,Q9NYZ2,UNIPROT
SLC4A8,Q2Y0W8,UNIPROT
SLC4A9,Q96Q91,UNIPROT
SLC25A32,Q9H2D1,UNIPROT
SLC24A5,Q71RS6,UNIPROT
